METRIC,SIGNATURE,unique_gloss_pairs,unique_glosses,hyp_gloss_count,ref_gloss_count,total_count,self_scores_count,mean_self_score,std_self_score,mean_of_gloss_self_score_means,std_of_gloss_self_score_means,out_of_class_scores_count,mean_out_of_class_score,std_out_of_class_score,mean_of_out_of_class_score_means,std_of_out_of_class_score_means,mean_score_time,std_dev_of_score_time,mean_average_precision,mean_reciprocal_rank,precision@1,recall@1,match_count@1,precision@5,recall@5,match_count@5,precision@10,recall@10,match_count@10,mean_out_mean_in_ratio
CheatingMetric_cheat0.0_defaultdist4.0,CheatingMetric_cheat0.0_defaultdist4.0|higher_is_better:no|pose_preprocessors:[]|distance_measure:{return4|default_distance:4.0},6016,1088,169,1088,117398,33031,0.0,0.0,0.0,0.0,84367,4.0,0.0,4.0,0.0,0.00012389114105699188,0.0016690319161854529,1.0,1.0,1.0,0.07858988735888767,2325,1.0,0.3929494367944383,11625,0.9972473118279569,0.7825126302026332,23186,inf
EmbeddingDistanceMetric_asl_citizen_finetune_checkpoint_best_cosine,EmbeddingDistanceMetric_asl_citizen_finetune_checkpoint_best_cosine|higher_is_better:no|model:asl_citizen_finetune_checkpoint_best|kind:cosine,6016,1088,169,1088,117398,33031,0.1873709136698942,0.0971846195657714,0.18305151232200423,0.040185197789897986,84367,0.35123098191465857,0.06546747761737097,0.35044533833743036,0.025351223108521406,0.0004622702913039233,0.001647378757887615,0.8463741540908813,0.9594687819480896,0.9354838709677419,0.07358675646955883,2175,0.8922150537634409,0.3507088421748364,10372,0.8258924731182795,0.647000703462603,19202,1.874522438063409
EmbeddingDistanceMetric_asl_finetune_checkpoint_best_cosine,EmbeddingDistanceMetric_asl_finetune_checkpoint_best_cosine|higher_is_better:no|model:asl_finetune_checkpoint_best|kind:cosine,6016,1088,169,1088,117398,33031,0.17921312800480427,0.09580560752175435,0.17336378847176062,0.04494385885205094,84367,0.35787020717205864,0.053589427143769186,0.35681554881068306,0.016305805061636484,0.00047973792663907693,0.0013612240885703748,0.914872407913208,0.9766806364059448,0.9621505376344086,0.07568552130980974,2237,0.9496774193548387,0.37390154387892327,11040,0.9167741935483871,0.719858094936493,21315,1.9968972761999055
EmbeddingDistanceMetric_asl_signs_finetune_checkpoint_best_cosine,EmbeddingDistanceMetric_asl_signs_finetune_checkpoint_best_cosine|higher_is_better:no|model:asl_signs_finetune_checkpoint_best|kind:cosine,6016,1088,169,1088,117398,33031,0.11358085723386821,0.06094124812371697,0.11063966308158195,0.02542463412587113,84367,0.2196795388833484,0.056518155430303904,0.21991803000347662,0.02247016768761457,0.0004500112797438618,0.001107537428198665,0.8173709511756897,0.9447532296180725,0.9101075268817205,0.071710912894674,2116,0.867268817204301,0.341688109403829,10082,0.7989677419354839,0.6264065526374525,18576,1.9341246776383993
EmbeddingDistanceMetric_baseline_temporal_checkpoint_best_cosine,EmbeddingDistanceMetric_baseline_temporal_checkpoint_best_cosine|higher_is_better:no|model:baseline_temporal_checkpoint_best|kind:cosine,6016,1088,169,1088,117398,33031,0.13359803274431314,0.06171402166201791,0.13329779101971237,0.013441635002619367,84367,0.17256915257106425,0.05224798733184633,0.17316218525216934,0.015093393282191891,0.0004506432545353917,0.0013273754849823577,0.5033165216445923,0.7716054320335388,0.6318279569892473,0.04948602208404465,1469,0.5398709677419354,0.2103029870193058,6276,0.47655913978494624,0.3705650876434358,11080,1.2917042940395391
EmbeddingDistanceMetric_pop_sign_finetune_checkpoint_best_cosine,EmbeddingDistanceMetric_pop_sign_finetune_checkpoint_best_cosine|higher_is_better:no|model:pop_sign_finetune_checkpoint_best|kind:cosine,6016,1088,169,1088,117398,33031,0.08555083425012316,0.05114047957616241,0.08311892726159752,0.02380925180486126,84367,0.17563243210404017,0.03506211017621249,0.17606306605599054,0.010281008538369822,0.0004546447269377093,0.0013797865123699497,0.8636671304702759,0.9611356258392334,0.9359139784946237,0.07375814478326213,2176,0.9077849462365593,0.3577464095635972,10553,0.8554408602150538,0.6718362905926074,19889,2.0529598997310456
EmbeddingDistanceMetric_sem_lex_finetune_checkpoint_best_cosine,EmbeddingDistanceMetric_sem_lex_finetune_checkpoint_best_cosine|higher_is_better:no|model:sem_lex_finetune_checkpoint_best|kind:cosine,6016,1088,169,1088,117398,33031,0.14977881562023734,0.07293915653550329,0.14686835150903177,0.027775501849537997,84367,0.26660538512905585,0.06342926888143727,0.26540911477845786,0.026033062402007513,0.0004493031951380236,0.0015725380190613923,0.7802920937538147,0.9422553181648254,0.9036559139784947,0.0708627331810194,2101,0.8289032258064515,0.3245014082684112,9636,0.7480860215053763,0.583234227888028,17393,1.7799939465740675
Return4Metric_defaultdist4.0,Return4Metric_defaultdist4.0|higher_is_better:no|pose_preprocessors:[]|distance_measure:{return4|default_distance:4.0},6016,1088,169,1088,117398,33031,4.0,0.0,4.0,0.0,84367,4.0,0.0,4.0,0.0,0.00012389114105699188,0.0016690319161854529,0.32105177640914917,0.4818847179412842,0.2546236559139785,0.019981923968741107,592,0.26778494623655913,0.10479817046844911,3113,0.266752688172043,0.2089814181753161,6202,1.0
startendtrimmed_normalizedbyshoulders_hands_defaultdist0.0_interp120_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast,"startendtrimmed_normalizedbyshoulders_hands_defaultdist0.0_interp120_dtw_fillmasked0.0_dtaiDTWAggregatedDistanceMetricFast|higher_is_better:no|pose_preprocessors:[trim_pose|start:yes|end:yes,normalize_poses|scale_factor:1,get_hands_only,interpolate_to_fps|fps:120|kind:cubic,fill_masked_or_invalid|fill_val:0.0,reduce_poses_to_intersection]|distance_measure:{dtaiDTWAggregatedDistanceMeasureFast|default_distance:0.0|aggregation_strategy:mean|use_fast:yes}",6016,1088,169,1088,117398,33031,4.569632474600731,4.662841385613666,4.601325643195225,1.6770138944319115,84367,5.85153976007031,4.509125887132765,5.942359831905404,1.5566200341772685,0.12294127109975359,0.11130258606244987,0.5501231551170349,0.8617144823074341,0.7952688172043011,0.06343345551105463,1849,0.6774193548387096,0.2692733742375708,7875,0.514752688172043,0.40448118164556796,11968,1.2805274368551018
startendtrimmed_normalizedbyshoulders_hands_defaultdist0.0_interp120_padwithfirstframe_fillmasked0.0_AggregatedPowerDistanceMetric,"startendtrimmed_normalizedbyshoulders_hands_defaultdist0.0_interp120_padwithfirstframe_fillmasked0.0_AggregatedPowerDistanceMetric|higher_is_better:no|pose_preprocessors:[trim_pose|start:yes|end:yes,normalize_poses|scale_factor:1,get_hands_only,interpolate_to_fps|fps:120|kind:cubic,padwithfirstframe,fill_masked_or_invalid|fill_val:0.0,reduce_poses_to_intersection]|distance_measure:{AggregatedPowerDistance|default_distance:0.0|aggregation_strategy:mean|power:2.0}",6016,1088,169,1088,117398,33031,0.25732240226671654,0.20313701584798574,0.26028673785713613,0.10478300612793756,84367,0.3029063837983177,0.2100495512378241,0.306727950478855,0.09005125969363248,0.0923332244885965,0.08649770067293286,0.38642603158950806,0.5892857909202576,0.44387096774193546,0.0353616111298624,1032,0.354494623655914,0.13753557730003352,4121,0.3005161290322581,0.2309002300801462,6987,1.1771473495119675
